Name_name,Name_Bio,Name_Image,Name_Rank
Ajith Kumar,"The rare Tamil actor who does not shy away from playing his age, Ajith Kumar returns to the Forbes India Celebrity 100 list after dropping out last year.",https://www.forbesindia.com/media/celeblist2019/small/Face_125X125.jpg,52
Kapil Sharma,"After dropping out of last year's list, comedian Kapil Sharma makes a comeback on the 2019 Forbes India Celebrity 100 list at rank 53.",https://www.forbesindia.com/media/celeblist2019/small/053_Kapil%20Sharma.jpg,53
Mahesh Babu,"Starring in Maharshi this year, the south Indian ranks 54 on the Forbes India Celebrity 100 list, down from 33 in 2018.",https://www.forbesindia.com/media/celeblist2019/small/054_Mahesh%20Babu.jpg,54
S. Shankar,This south Indian movie maker ranks 55 on the list; the director didn't figure in the 2018 Forbes India Celebrity 100.,https://www.forbesindia.com/media/celeblist2019/small/055_S%20Shankar.jpg,55
Kamal Haasan,"Celebrating 60 years in films, the actor, director, producer, singer and choreographer jumped from 71 to rank 56 this year.",https://www.forbesindia.com/media/celeblist2019/small/056_Kamal%20Hassan_Selva.jpg,56
Madhuri Dixit Nene,"Madhuri Dixit Nene saw success in Total Dhamaal, which earned Rs 200 crore-plus. She also turned producer with 15 August, a Marathi Netflix film.",https://www.forbesindia.com/media/celeblist2019/small/057_Madhuri%20Dixit.jpg,57
Badshah,"Rapper Badshah's rank on the Celebrity 100 list improved from 63 to 58 this year, thanks to working on films such as Aladdin, Khandani Shafakhana and Saaho.",https://www.forbesindia.com/media/celeblist2019/small/058_Badshah.jpg,58
Sonakshi Sinha,"With a large social media following and various releases, Sinha returns to the Forbes India Celebrity 100 list.",https://www.forbesindia.com/media/celeblist2019/small/059_Sonakshi%20Sinha.jpg,59
Rohit Shetty,Rohit Shetty's Simmba is his eighth consecutive film to cross the Rs 100-crore mark at the box office.,https://www.forbesindia.com/media/celeblist2019/small/060_Rohit%20Shetty.jpg,60
Kuldeep Yadav,"This left-arm 'Chinaman' leg spinner is a debutant to the Celebrity 100 list, caked by steady performances in ODIs and T20Is.",https://www.forbesindia.com/media/celeblist2019/small/061_Kuldeep%20Yadav.jpg,61
Mammootty,"Malayalam cinema's superstar figures at rank 62 in the Forbes India Celebrity 100 list for 2019, falling from 49 in 2018.",https://www.forbesindia.com/media/celeblist2019/small/062_Mammootty.jpg,62
PV Sindhu,"In 2019, PV Sindhu became the first Indian badminton player to win the BWF World Championships, winning in just 36 minutes.",https://www.forbesindia.com/media/celeblist2019/small/063_PV%20Sindhu.jpg,63
Dhanush,"The Tamil actor-producer slid down nine ranks to 64, but is basking in the success of two hits.",https://www.forbesindia.com/media/celeblist2019/small/064_Dhanush.jpg,64
Arjun Kapoor,"The 34-year-old actor returns to 2019 Forbes India Celebrity 100 list, scoring high on the fame quotient.",https://www.forbesindia.com/media/celeblist2019/small/065_Arjun%20Kapoor.jpg,65
Sara Ali Khan,"The daughter of Saif Ali Khan and Amrita Singh is a debutante to the list, led by a string of brand endorsements.",https://www.forbesindia.com/media/celeblist2019/small/066_Sara%20Ali%20Khan.jpg,66
Kartik Aaryan,"Kartik Aaryan debuts on the Forbes India Celebrity 100 list at No 67, after his hit film Luka Chuppi with Kriti Sanon.",https://www.forbesindia.com/media/celeblist2019/small/067_Kartik%20Aaaryan.jpg,67
Taapsee Pannu,"With four hits this year, Taapsee Pannu sees her fame spread across India's biggest film industries—Hindi, Telugu and Tamil.",https://www.forbesindia.com/media/celeblist2019/small/068_Taapsi%20Pannu.jpg,68
Sushant Singh Rajput,"Sushant Singh Rajput slipped off the list in 2018, but made it back with Sonchiriya and Chhichhore.",https://www.forbesindia.com/media/celeblist2019/small/069_Sushant%20singh.jpg,69
Kangana Ranaut,"Kangana Ranaut returned to the Celebrity 100 on the back of two performances, Manikarnika: The Queen of Jhansi and Judgementall Hai Kya.",https://www.forbesindia.com/media/celeblist2019/small/070_Kangana%20Ranaut.jpg,70
Anil Kapoor,Anil Kapoor starred in Total Dhamaal and Ek Ladki Ko Dekha Toh Aisa Laga this year.,https://www.forbesindia.com/media/celeblist2019/small/071_Anil%20Kappor.jpg,71
Vicky Kaushal,2019 was the year that made Vicky Kaushal a superstar. Uri: The Surgical Strike raked in nearly Rs 350 crore at the box office.,https://www.forbesindia.com/media/celeblist2019/small/072_Vicky%20Kaushal.jpg,72
Sanjeev Kapoor,"Chef Sanjeev Kapoor's earnings stay consistent, and he dominates the new celebrity chefs category by a mile.",https://www.forbesindia.com/media/celeblist2019/small/073_Sanjeev%20Kapoor.jpg,73
Saif Ali Khan,"Saif Ali Khan notched up Rs 17 crore in earnings, up from Rs 10 crore last year, with his Netflix-debut Sacred Games.",https://www.forbesindia.com/media/celeblist2019/small/074_Saif%20Ali%20Khan.jpg,74
Shilpa Shetty Kundra,"One of Hindi cinema's most prominent faces during the 1990s, Shetty has cemented her place as an investor and fitness expert.",https://www.forbesindia.com/media/celeblist2019/small/075_Shilpa%20Shetty.jpg,75
Malaika Arora,"The celebrity is keeping busy with her fitness venture, apart from judging reality shows.",https://www.forbesindia.com/media/celeblist2019/small/076_Malaika%20Arora.jpg,76
Trivikram Srinivas,"The Telugu filmmaker marks his debut in the 2019 Forbes India Celebrity 100 list, at rank 77.",https://www.forbesindia.com/media/celeblist2019/small/077_Trivikram-srinivas.jpg,77
Ali Abbas Zafar,"Ali Abbas Zafar has debuted on the 2019 Forbes India Celebrity 100 list at rank 78, riding on the success of Salman Khan-starrer Bharat.",https://www.forbesindia.com/media/celeblist2019/small/078_Ali%20Abbas%20Zafar.jpg,78
Divyanka Tripathi Dahiya,"Divyanka Tripathi Dahiya had a successful streak, moving up from the 94th rank in 2018 to 79th in 2019.",https://www.forbesindia.com/media/celeblist2019/small/079_Divyanka%20Tripathi%20Dahiya.jpg,79
Siva,"Sivakumar, or Siva, makes his debut in the 2019 Forbes India Celebrity 100 list, owing to the success of Viswasam.",https://www.forbesindia.com/media/celeblist2019/small/Face_125X125.jpg,80
Saina Nehwal,"The ace shuttler had a rough 2019, bagging only one global title; she slipped to the 81st spot in 2019 Forbes India Celebrity 100 list.",https://www.forbesindia.com/media/celeblist2019/small/081_Saina%20Nehwal.jpg,81
Bharti Singh,Comedian Bharti Singh dropped a few notches this year to rank 82 on the 2019 Forbes India Celebrity 100 list.,https://www.forbesindia.com/media/celeblist2019/small/082_Bharti%20Singh.jpg,82
Zoya Akhtar,The filmmaker's success with Gully Boy and web series Made in Heaven helped her make it to the 2019 Forbes India Celebrity 100 list.,https://www.forbesindia.com/media/celeblist2019/small/083_Zoya%20Akhtar.jpg,83
Karthik Subbaraj,"At four films old, Karthik Subbaraj managed to rope in Rajinikanth for his film Petta, which garnered over Rs 200 crore.",https://www.forbesindia.com/media/celeblist2019/small/Face_125X125.jpg,84
Sunil Chhetri,"After dropping off the list in 2018, the Indian footballer ranks 85 on the Forbes India Celebrity 100 list for 2019.",https://www.forbesindia.com/media/celeblist2019/small/085_Sunil%20Chhetri.jpg,85
Remo D'Souza,"Choreographer-director Remo D'Souza dropped to No 86 on the 2019 Forbes India Celebrity 100 list, from No 65 last year.",https://www.forbesindia.com/media/celeblist2019/small/086_Remo%20D'Souza.jpg,86
Mary Kom,"Mary Kom makes a comeback on Celebrity 100 list, making history as the first boxer to win eight medals.",https://www.forbesindia.com/media/celeblist2019/small/087_Merry%20Kom.jpg,87
Mithali Raj,"Mithali Raj debuts on the list in her 20th year as a professional cricketer, the highest for any woman player.",https://www.forbesindia.com/media/celeblist2019/small/088_%20Mithali%20Raj.jpg,88
Raveena Tandon,The 1990s star makes it to the list backed by earnings as a judge on dance-reality show Nach Baliye.,https://www.forbesindia.com/media/celeblist2019/small/089_Raveena%20Tandon.jpg,89
Smriti Mandhana,"India's youngest T20 captain, Smriti Mandhana is poised to become the next big thing in women's cricket.",https://www.forbesindia.com/media/celeblist2019/small/090_Snriti%20Mandhana.jpg,90
Harmanpreet Kaur,"With her imperious batting, Harmanpreet Kaur, has given women's cricket a character and visibility like never before.",https://www.forbesindia.com/media/celeblist2019/small/091_Harmanpreet%20Kaur.jpg,91
Karan Kundra,"Despite an eventful year, television actor Karan Kundra drops from rank 84 to 92 on the 2019 Forbes India Celebrity 100 list.",https://www.forbesindia.com/media/celeblist2019/small/092_Karan%20Kundra.jpg,92
Kalki Koechlin,"This Bollywood actor is ranked at 93 on the Forbes India list of top 100 celebrities in 2019, with roles in Zoya Akhtar's Gully Boy and Made in Heaven.",https://www.forbesindia.com/media/celeblist2019/small/093_Kalki%20Koechlin.jpg,93
Bajrang Punia,"Wrestler Bajrang Punia makes his debut on the list at rank 94, with estimated earnings of Rs 2.4 crore.",https://www.forbesindia.com/media/celeblist2019/small/094_Bajrang%20Punjia.jpg,94
Anirban Lahiri,Golfer Anirban Lahiri drops to No 95 from No 81 following a disappointing year-and-a-half .,https://www.forbesindia.com/media/celeblist2019/small/095_Anirban%20Lahiri.jpg,95
Ranveer Brar,"Ranveer Brar is the second-highest earning celebrity chef on the list, riding on his popular travel-led TV shows.",https://www.forbesindia.com/media/celeblist2019/small/096_Ranveer%20brar.jpg,96
Vikas Khanna,"Best known for his Michelin-starred Manhattan restaurant Junoon, Khanna makes a list debut in the new celebrity chefs category.",https://www.forbesindia.com/media/celeblist2019/small/097_Vikas%20Khanna.jpg,97
Rohan Bopanna,Bopanna has had an active 2018-19 playing several Grand Slam tournaments and ATP Masters Series 1000.,https://www.forbesindia.com/media/celeblist2019/small/098_Rohan%20Bopanna.jpg,98
Vicky Ratnani,"With web series Vicky the Gastronaut, Chef Vicky Ratnani debuts on the Forbes India Celebrity 100 list this year.",https://www.forbesindia.com/media/celeblist2019/small/99_Vicky%20Ratnani_sm.jpg,99
Saransh Goila,"Goila makes his Celebrity 100 debut at No 100, cashing in on his social media fame with a number of brand endorsements.",https://www.forbesindia.com/media/celeblist2019/small/100_Saransh%20Goila.jpg,100
